Visual Apparent Magnitude of the Star,Distance Between the Star and the Earth,Standard Error of star ad earth,B-V color index,Spectral type,Absolute Magnitude of the Star,star
10,31.66,6.19,1.213,K7V,22.502556,Gaint
8.26,3.21,1,1.13,K0III,15.792525,Dwarf
8.27,12.75,1.06,0.596,F9V,18.797552,Gaint
6.54,5.23,0.76,1.189,K1III,15.132508,Dwarf
8.52,0.96,0.72,0.173,B8V,13.431356,Gaint
6.09,6.02,0.95,0.04,B8IVn,14.987983,Gaint
7.94,5.36,0.61,1.066,K0III,16.585825,Dwarf
6.81,13.13,1.04,1.03,K1III,17.401323,Dwarf
7.68,0.66,0.62,0.013,B2V:e,11.7777195,Gaint
8.78,8.26,1.14,0.682,G2IV,18.364899,Gaint
7.97,9.02,2.5,0.556,F7V,17.746033,Gaint
5.18,2.52,0.55,-0.274,B1IV/V,12.187002,Gaint
8.86,2.49,1.27,1.063,K0III,15.840996,Dwarf
8.73,2.29,1.08,-0.035,B2Vnne,15.529177,Gaint
7.59,6.13,0.9,0.043,A0V,16.527302,Gaint
8.34,6.04,1.85,0.375,A9V,17.245186,Gaint
5.26,9.55,0.49,0.973,K0III,15.160017,Dwarf
7.36,11.4,0.91,0.701,G3V,17.644524,Gaint
7.43,2.98,0.79,1.234,K0III,14.801081,Dwarf
8.94,3.23,1.58,0.801,K1:III+...,16.486012,Dwarf
5.97,2.89,0.83,0.953,G8III+...,13.274489,Dwarf
7.7,2.26,1.28,1.271,K2III,14.470542,Dwarf
7.38,7.84,0.56,0.564,F6V,16.851582,Gaint
8.13,1.84,0.99,0.928,G3III,14.454089,Dwarf
7.66,5.76,0.99,0.168,A0V,16.462112,Gaint
8.18,4.5,1.05,1.48,K0III,16.446064,Dwarf
6.77,2.8,0.56,1.554,K4III,14.005791,Dwarf
6.73,2.43,0.73,1.614,K5III,13.658031,Dwarf
9.25,1.17,1.59,1.705,K8III,14.590929,Dwarf
4.73,0.7,0.48,0.164,A7Ib,8.95549,Dwarf
2.54,14.82,0.83,1.63,M2III,13.394242,Dwarf
7.3,7.94,0.58,1.14,K2III,16.799103,Dwarf
5.16,12.33,0.47,0.96,G8III,15.614816,Dwarf
7.28,13.24,0.69,0.445,F3/F5V,17.88944,Gaint
8.81,6.58,1.33,0.465,F3V,17.90113,Gaint
8.74,39.32,1.33,1.035,K3V,21.713068,Gaint
9.11,8.91,1.21,0.805,G8V,18.859388,Gaint
6.83,3.18,0.75,1.484,K3III,14.342135,Dwarf
8.55,3.47,0.75,1.017,G8III/IV,16.251648,Gaint
9.09,7.61,1.25,0.793,G8V,18.496923,Gaint
7.66,1.49,0.96,1.693,K5III,13.525931,Dwarf
9.58,3.2,0.96,0.333,F0IV/V,17.10575,Gaint
7.51,3.1,0.83,1.029,K1III+...,14.966808,Dwarf
8.44,3.45,1.06,1.353,K2III,16.129095,Dwarf
7.7,5.07,0.98,1.018,G8III,16.22504,Dwarf
7.38,1.82,1,0.017,B6III,13.680357,Dwarf
5.12,4.82,0.62,1.355,K3III,13.535235,Dwarf
8.3,5.23,1.12,0.411,F2V,16.89251,Gaint
5.79,8.87,0.61,-0.038,A0Vs,15.529618,Gaint
8.2,5.22,1.1,0.971,K0III,16.788353,Dwarf
8.44,4.21,1.1,0.996,G8III/IV,16.561409,Gaint
8.88,1.84,0.84,0.01,B9V,15.204089,Gaint
7.46,3.91,0.82,0,A3V,15.420884,Gaint
7.9,11.62,1.42,0.559,F9III,18.22603,Dwarf
6.66,6.07,0.95,0.961,G8/K0III,15.575943,Dwarf
7.89,3.05,0.67,1.648,M2III,15.311499,Dwarf
8.91,5.46,1.06,1.017,K2III/IV,17.595963,Gaint
5.94,8.04,1.04,0.336,F2Vn,15.46628,Gaint
8.68,4.98,0.83,1.205,K2/K3III,17.166147,Dwarf
8.04,5.81,0.82,0.953,K0III,16.860882,Dwarf
8.82,11.91,1.23,0.637,G3V,19.199558,Gaint
6.77,5.1,0.82,1.306,K3III,15.307852,Dwarf
8.16,8.43,0.71,0.542,F8IV/V,17.789137,Gaint
8.34,3.99,1.05,0.34,F0V,16.344864,Gaint
7.87,1.84,0.72,1.47,K4III,14.194089,Dwarf
9.67,15.75,1.34,0.766,K0V,20.656403,Gaint
8.62,1.5,0.73,0.184,B8/B9IV/V,14.500456,Gaint
8.91,8.57,1.21,0.52,F5V,18.574903,Gaint
9.18,2.16,1.59,0.981,K0III,15.852269,Dwarf
8.02,4.26,0.76,1.117,K0/K1III,16.16705,Dwarf
7.86,8.26,0.94,0.971,K0III,17.4449,Dwarf
8,3.77,1.07,1.127,K0III,15.881707,Dwarf
8.38,0.46,0.68,0.005,B8/B9V,11.6937895,Gaint
7.69,3.64,1.38,0.414,F3III,15.495507,Dwarf
9.17,5.44,1.15,0.452,F5V,17.847996,Gaint
6.99,4.17,0.81,1.538,M4III,15.09068,Dwarf
5.45,9.75,1.05,-0.034,B7IV,15.395022,Gaint
5.3,5.44,0.88,1.549,K4/K5III,13.977995,Dwarf
7.28,1.49,1.03,1.81,K2II/III,13.145931,Dwarf
8.7,11.93,1.12,0.774,G6V,19.083202,Gaint
8.09,2.92,1.05,1.664,M0III,15.416914,Dwarf
5.94,2.31,0.58,0.7,F5:Ib-II,12.75806,Dwarf
9.18,16.14,1.07,0.682,G2V,20.219517,Gaint
8.02,2.87,0.67,1.041,K0III,15.30941,Dwarf
7.73,6.95,0.79,0.435,F3IV/V,16.939924,Gaint
9.24,1.29,0.84,0.805,F8/G0III,14.792949,Dwarf
9.71,4.14,1.69,0.576,G2V,17.795002,Gaint
5.36,5.55,0.82,1.559,M4III,14.081465,Dwarf
8.6,23.42,6.63,0.54,F7IV,20.447935,Gaint
9.62,3.29,1.55,0.585,G1V,17.205978,Gaint
7.09,3.94,0.59,0.732,G8/K0III+..,15.067481,Dwarf
